"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2024)"
"Populatie: Particuliere huishoudens incl. studenten"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2021"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief";"Inkomen|Gemiddeld gestandaardiseerd inkomen";"Inkomen|Mediaan gestandaardiseerd inkomen";"Inkomen|Gemiddeld besteedbaar inkomen";"Inkomen|Mediaan besteedbaar inkomen"
"Regio's";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"7951,4";"100";"33,6";"30,0";"48,5";"39,7"
"Amsterdam";"470,9";"100";"35,1";"27,6";"46,9";"33,4"
"Groningen (gemeente)";"130,6";"100";"27,3";"23,9";"36,2";"27,8"
"Maastricht";"61,6";"100";"28,3";"24,7";"38,2";"30,1"
"Utrecht (gemeente)";"178,2";"100";"33,1";"30,0";"46,2";"36,5"
"Bron: CBS"
