"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2024)"
"Populatie: Particuliere huishoudens incl. studenten"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2019"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief";"Inkomen|Gemiddeld gestandaardiseerd inkomen";"Inkomen|Mediaan gestandaardiseerd inkomen";"Inkomen|Gemiddeld besteedbaar inkomen";"Inkomen|Mediaan besteedbaar inkomen"
"Regio's";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"7827,4";"100";"31,6";"27,6";"45,7";"36,7"
"Amsterdam";"466,4";"100";"32,3";"25,3";"43,2";"30,5"
"Groningen (gemeente)";"128,6";"100";"24,6";"21,6";"32,7";"25,4"
"Maastricht";"61,1";"100";"26,9";"22,9";"36,7";"28,1"
"Utrecht (gemeente)";"175,9";"100";"30,0";"26,9";"41,7";"32,5"
"Bron: CBS"
