"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2024)"
"Populatie: Particuliere huishoudens incl. studenten"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2023*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief";"Inkomen|Gemiddeld gestandaardiseerd inkomen";"Inkomen|Mediaan gestandaardiseerd inkomen";"Inkomen|Gemiddeld besteedbaar inkomen";"Inkomen|Mediaan besteedbaar inkomen"
"Regio's";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"8156,9";"100";"38,3";"34,0";"55,0";"44,6"
"Amsterdam";"489,2";"100";"40,1";"31,7";"53,2";"37,7"
"Groningen (gemeente)";"133,1";"100";"31,0";"27,8";"40,8";"31,8"
"Maastricht";"63,7";"100";"32,1";"28,1";"43,1";"33,5"
"Utrecht (gemeente)";"183,4";"100";"37,5";"33,9";"52,2";"40,7"
"Bron: CBS"
