"Kerncijfers wijken en buurten 2021"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Amsterdam";"Groningen";"Maastricht";"Utrecht"
"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"aantal";"13960800";"694300";"187900";"94300";"282100"
"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"x 1 000 euro";"35,7";"42,0";"31,9";"32,3";"40,1"
"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"x 1 000 euro";"29,1";"34,5";"26,8";"27,5";"32,2"
"Inkomen|Inkomen van huishoudens|Gem. gestandaardiseerd inkomen van huish";"x 1 000 euro";"33,6";"35,1";"27,3";"28,3";"33,1"
"Bron: CBS"
