"Gezondheidsmonitor; bevolking 18 jaar of ouder, regio, 2020"
"Leeftijd: Totaal"
"Marges: Waarde"
"";"Onderwerp"
"";"Onder- en overgewicht|Ondergewicht";"Onder- en overgewicht|Normaal gewicht";"Onder- en overgewicht|Overgewicht";"Onder- en overgewicht|Mate van overgewicht|Matig overgewicht";"Onder- en overgewicht|Mate van overgewicht|Ernstig overgewicht (obesitas)"
"Regio’s";"%";"%";"%";"%";"%"
"Nederland";"1,7";"48,8";"49,4";"34,8";"14,7"
"Amsterdam";"2,7";"58,1";"39,3";"28,1";"11,2"
"Groningen (gemeente)";"2,5";"58,3";"39,2";"28,3";"11,0"
"Maastricht";"2,5";"51,8";"45,7";"30,9";"14,8"
"Utrecht (gemeente)";"2,2";"60,2";"37,6";"28,0";"9,6"
"Bron: CBS"
