"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2024)"
"Populatie: Particuliere huishoudens incl. studenten"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2020"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief";"Inkomen|Gemiddeld gestandaardiseerd inkomen";"Inkomen|Mediaan gestandaardiseerd inkomen";"Inkomen|Gemiddeld besteedbaar inkomen";"Inkomen|Mediaan besteedbaar inkomen"
"Regio's";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"7894,5";"100";"32,1";"28,7";"46,4";"38,1"
"Amsterdam";"470,6";"100";"33,2";"26,3";"44,3";"31,8"
"Groningen (gemeente)";"129,3";"100";"25,7";"22,7";"34,2";"26,6"
"Maastricht";"61,1";"100";"27,3";"23,7";"37,2";"29,1"
"Utrecht (gemeente)";"177,3";"100";"31,2";"28,4";"43,5";"34,5"
"Bron: CBS"
